À­ÂüÎ»ÒÆ,Count
1858.1,97654
1861.33,96836
1864.56,96835
1867.78,96299
1871,96170
1874.21,95961
1877.42,95655
1880.63,95413
1883.84,95152
1887.04,94716
1890.24,94457
1893.44,93913
1896.63,93661
1899.82,93192
1903.01,92411
1906.19,91807
1909.37,91578
1912.55,91097
1915.72,90674
1918.9,90162
1922.06,89998
1925.23,89854
1928.39,89663
1931.55,89308
1934.71,89202
1937.86,89106
1941.01,89038
1944.16,88929
1947.3,88715
1950.44,88753
1953.58,88511
1956.71,88164
1959.84,87957
1962.97,87824
1966.1,87384
1969.22,87103
1972.34,86598
1975.45,87010
1978.57,86426
1981.68,85146
1984.78,84411
1987.89,84209
1990.99,83706
1994.08,83312
1997.18,82860
2000.27,82561
2003.36,82458
2006.44,81877
2009.53,81705
2012.61,81305
2015.68,81206
2018.76,80809
2021.83,80517
2024.9,80264
2027.96,79633
2031.02,79345
2034.08,78797
2037.14,78496
2040.19,78010
2043.24,77525
2046.28,77203
2049.33,76561
2052.37,76055
2055.41,75515
2058.44,75129
2061.47,74455
2064.5,73862
2067.53,73521
2070.55,73092
2073.57,72865
2076.59,72375
2079.6,72315
2082.61,71905
2085.62,71655
2088.63,71423
2091.63,71073
2094.63,70809
2097.63,70444
2100.62,70069
2103.61,69764
2106.6,69431
2109.58,69326
2112.57,69035
2115.55,68666
2118.52,68398
2121.5,67987
2124.47,67684
2127.43,67482
2130.4,67059
2133.36,66750
2136.32,66591
2139.27,66349
2142.23,66276
2145.18,66065
2148.13,65981
2151.07,65832
2154.01,65841
2156.95,65675
2159.89,65716
2162.82,65358
2165.75,65216
2168.68,65002
2171.6,64837
2174.52,64796
2177.44,64529
2180.36,64379
2183.27,64166
2186.18,63981
2189.09,63704
2192,63421
2194.9,63019
2197.8,63012
2200.69,62775
2203.59,62412
2206.48,62079
2209.37,61797
2212.25,61515
2215.13,61406
2218.01,61903
2220.89,63005
2223.76,62082
2226.63,60689
2229.5,60240
2232.37,59859
2235.23,59499
2238.09,59236
2240.95,59043
2243.8,58959
2246.65,58361
2249.5,57964
2252.35,57746
2255.19,57445
2258.03,57248
2260.87,56933
2263.71,56576
2266.54,56139
2269.37,55881
2272.2,55376
2275.02,55129
2277.84,55025
2280.66,54847
2283.48,54508
2286.29,54338
2289.1,53940
2291.91,53722
2294.71,53605
2297.52,53345
2300.32,53233
2303.11,53121
2305.91,53108
2308.7,52814
2311.49,52651
2314.27,52675
2317.06,52431
2319.84,52126
2322.62,51931
2325.39,51845
2328.17,51649
2330.94,51249
2333.7,51036
2336.47,50904
2339.23,50644
2341.99,50463
2344.75,50331
2347.5,50075
2350.25,49976
2353,49688
2355.75,49515
2358.49,49182
2361.23,49074
2363.97,48970
2366.7,48622
2369.44,48418
2372.17,48211
2374.89,48121
2377.62,48162
2380.34,48227
2383.06,47717
2385.78,47143
2388.49,46821
2391.2,46549
2393.91,46465
2396.62,46173
2399.32,46080
2402.03,45935
2404.72,45675
2407.42,45306
2410.11,45114
2412.81,44990
2415.49,44724
2418.18,44678
2420.86,44325
2423.54,44176
2426.22,44075
2428.9,43741
2431.57,43632
2434.24,43598
2436.91,43303
2439.57,43194
2442.23,43158
2444.89,42887
2447.55,42690
2450.21,42514
2452.86,42442
2455.51,42258
2458.16,42051
2460.8,41793
2463.44,41651
2466.08,41702
2468.72,41525
2471.35,41356
2473.98,41167
2476.61,40889
2479.24,40920
2481.87,40780
2484.49,40520
2487.11,40373
2489.72,40296
2492.34,40080
2494.95,39843
2497.56,39792
2500.16,39584
2502.77,39523
2505.37,39263
2507.97,39066
2510.57,38960
2513.16,38698
2515.75,38637
2518.34,38430
2520.93,38276
2523.51,38232
2526.09,38011
2528.67,37808
2531.25,37738
2533.82,37566
2536.39,37501
2538.96,37470
2541.53,37357
2544.09,37316
2546.66,37215
2549.21,37119
2551.77,37008
2554.33,36837
2556.88,36745
2559.43,36640
2561.97,36524
2564.52,36371
2567.06,36208
2569.6,36103
2572.14,35926
2574.67,35700
2577.2,35654
2579.73,35512
2582.26,35262
2584.79,35112
2587.31,34901
2589.83,34841
2592.35,34643
2594.86,34447
2597.37,34251
2599.89,34170
2602.39,33987
2604.9,34108
2607.4,33755
2609.9,33360
2612.4,33212
2614.9,33017
2617.39,32810
2619.88,32588
2622.37,32308
2624.86,32115
2627.34,31909
2629.82,31730
2632.3,31551
2634.78,31329
2637.25,31165
2639.72,30949
2642.19,30831
2644.66,30747
2647.13,30503
2649.59,30292
2652.05,30116
2654.51,30070
2656.96,29870
2659.41,29789
2661.86,29738
2664.31,29487
2666.76,29410
2669.2,29307
2671.64,29267
2674.08,29130
2676.52,29038
2678.95,28926
2681.38,28778
2683.81,28656
2686.24,28782
2688.67,28702
2691.09,28608
2693.51,28586
2695.93,28508
2698.34,28503
2700.76,28525
2703.17,28589
2705.57,28527
2707.98,28679
2710.38,28721
2712.79,28968
2715.18,29018
2717.58,29229
2719.98,29368
2722.37,29614
2724.76,29643
2727.15,29633
2729.53,29577
2731.91,29778
2734.3,29996
2736.67,29971
2739.05,29883
2741.42,29466
2743.8,29088
2746.16,28693
2748.53,28377
2750.9,28156
2753.26,28053
2755.62,27861
2757.98,27972
2760.33,27910
2762.69,28132
2765.04,28083
2767.39,27996
2769.73,28013
2772.08,28025
2774.42,28146
2776.76,28189
2779.1,28345
2781.43,28681
2783.76,29042
2786.1,29230
2788.42,29446
2790.75,29767
2793.07,30406
2795.4,31132
2797.72,31871
2800.03,32817
2802.35,33934
2804.66,35151
2806.97,36766
2809.28,38603
2811.59,40790
2813.89,43404
2816.19,46303
2818.49,50179
2820.79,54597
2823.08,59845
2825.38,65844
2827.67,72665
2829.95,80172
2832.24,87829
2834.53,93640
2836.81,96192
2839.09,94711
2841.36,89978
2843.64,84302
2845.91,78534
2848.18,73811
2850.45,70389
2852.72,67886
2854.98,66321
2857.24,65480
2859.5,64916
2861.76,64750
2864.02,65056
2866.27,65821
2868.52,66876
2870.77,67907
2873.02,68879
2875.26,69340
2877.5,68994
2879.74,68128
2881.98,66710
2884.22,65204
2886.45,64172
2888.68,63371
2890.91,63070
2893.14,63162
2895.37,63505
2897.59,64092
2899.81,64983
2902.03,66355
2904.24,67451
2906.46,69013
2908.67,70811
2910.88,72407
2913.09,74333
2915.29,76164
2917.5,77559
2919.7,78950
