wavenumber,intensity
163.088,0.0
166.18405278592374,0.0
169.2801055718475,0.0
172.37615835777126,0.0
175.472211143695,0.0
178.56826392961875,0.0
181.66431671554253,0.0
184.76036950146627,0.0
187.85642228739002,0.0
190.95247507331376,0.0
194.04852785923754,0.0
197.14458064516128,0.0
200.24063343108503,0.0
203.33668621700878,0.0
206.43273900293255,0.0
209.5287917888563,0.0012611440615728498
212.62484457478004,0.014494814909994602
215.72089736070382,0.019160224124789238
218.81695014662756,0.018404310569167137
221.9130029325513,0.015791838988661766
225.00905571847505,0.020672906190156937
228.1051085043988,0.02567955106496811
231.20116129032257,0.023194288834929466
234.29721407624632,0.02146175503730774
237.3932668621701,0.02694319747388363
240.48931964809384,0.030617255717515945
243.5853724340176,0.03392850235104561
246.68142521994133,0.03326714411377907
249.77747800586508,0.04073502495884895
252.87353079178882,0.040682997554540634
255.9695835777126,0.03930194675922394
259.0656363636364,0.03775016590952873
262.1616891495601,0.04405154660344124
265.25774193548386,0.04458025097846985
268.3537947214076,0.04082608222961426
271.44984750733136,0.03737497702240944
274.5459002932551,0.040756840258836746
277.64195307917885,0.042997103184461594
280.73800586510265,0.03799106180667877
283.8340586510264,0.0350927896797657
286.93011143695014,0.03829222172498703
290.0261642228739,0.039651937782764435
293.12221700879763,0.04053829610347748
296.2182697947214,0.03901571407914162
299.3143225806451,0.04507005959749222
302.4103753665689,0.04357638955116272
305.5064281524926,0.040609851479530334
308.6024809384164,0.038188427686691284
311.69853372434017,0.04333648458123207
314.7945865102639,0.043002936989068985
317.89063929618766,0.03843613713979721
320.9866920821114,0.0345376692712307
324.0827448680352,0.03750133886933327
327.1787976539589,0.039240315556526184
330.2748504398827,0.03331214189529419
333.37090322580644,0.030052805319428444
336.4669560117302,0.03248469904065132
339.56300879765394,0.03323662653565407
342.6590615835777,0.033646345138549805
345.7551143695015,0.03187859058380127
348.8511671554252,0.03764292225241661
351.947219941349,0.03553237020969391
355.04327272727267,0.031867288053035736
358.13932551319647,0.02896573208272457
361.2353782991202,0.03378244489431381
364.33143108504396,0.03297337144613266
367.42748387096776,0.027642274275422096
370.52353665689145,0.023193683475255966
373.61958944281525,0.025818945840001106
376.71564222873894,0.02736448310315609
379.81169501466275,0.02038867585361004
382.9077478005865,0.016727693378925323
386.00380058651024,0.018403310328722
