wavenumber,intensity
163.088,0.0
166.18405278592374,0.0
169.2801055718475,0.0
172.37615835777126,0.0
175.472211143695,0.0
178.56826392961875,0.0
181.66431671554253,0.0
184.76036950146627,0.0
187.85642228739002,0.0
190.95247507331376,0.0
194.04852785923754,0.10167767852544785
197.14458064516128,0.15534669160842896
200.24063343108503,0.3041929006576538
203.33668621700878,0.3452957570552826
206.43273900293255,0.41533806920051575
209.5287917888563,0.4411635398864746
212.62484457478004,0.5402587056159973
215.72089736070382,0.5553505420684814
218.81695014662756,0.5798506140708923
221.9130029325513,0.5810881853103638
225.00905571847505,0.6168307065963745
228.1051085043988,0.622195303440094
231.20116129032257,0.6210455298423767
234.29721407624632,0.6142229437828064
237.3932668621701,0.6087648868560791
240.48931964809384,0.6010098457336426
243.5853724340176,0.6005440354347229
246.68142521994133,0.5975921750068665
249.77747800586508,0.576882004737854
252.87353079178882,0.5596193671226501
255.9695835777126,0.5466313362121582
259.0656363636364,0.5455247759819031
262.1616891495601,0.5196943283081055
265.25774193548386,0.505062460899353
268.3537947214076,0.48542705178260803
271.44984750733136,0.47729402780532837
274.5459002932551,0.448572039604187
277.64195307917885,0.4371168315410614
280.73800586510265,0.41656485199928284
283.8340586510264,0.40685003995895386
286.93011143695014,0.3745568096637726
290.0261642228739,0.3583955466747284
293.12221700879763,0.35609760880470276
296.2182697947214,0.35128095746040344
299.3143225806451,0.32713282108306885
302.4103753665689,0.30524173378944397
305.5064281524926,0.29252147674560547
308.6024809384164,0.28333181142807007
311.69853372434017,0.2502860724925995
314.7945865102639,0.22499266266822815
317.89063929618766,0.20378869771957397
320.9866920821114,0.19065439701080322
324.0827448680352,0.14761309325695038
327.1787976539589,0.12383261322975159
330.2748504398827,0.09870555996894836
333.37090322580644,0.09052331000566483
336.4669560117302,0.045677345246076584
339.56300879765394,0.019306153059005737
342.6590615835777,0.013224640861153603
345.7551143695015,0.017374897375702858
348.8511671554252,0.0
351.947219941349,0.0
355.04327272727267,0.0
358.13932551319647,0.0
361.2353782991202,0.0
364.33143108504396,0.0
367.42748387096776,0.0
370.52353665689145,0.0
373.61958944281525,0.0
376.71564222873894,0.0
379.81169501466275,0.0
382.9077478005865,0.0
386.00380058651024,0.0
389.099853372434,0.0
392.19590615835773,0.0
395.29195894428153,0.0
398.3880117302052,0.0
